Zipcode,Income 50-74K,Income 75-100K,High School Diploma,Bachelor's Degree,Non Poverty Family,Poverty Family
69133,0.0,0.0,63.0,45.0,30.0,0.0
69134,0.0,0.0,90.0,54.0,86.0,0.0
69039,0.0,0.0,10.0,1.0,0.0,0.0
69147,0.0,0.0,135.0,82.0,39.0,0.0
69340,0.0,0.0,32.0,0.0,38.0,0.0
69023,0.0,0.0,77.0,44.0,66.0,0.0
69027,0.0,0.0,0.0,15.0,0.0,0.0
69029,0.0,0.0,93.0,39.0,35.0,0.0
69021,0.0,0.0,238.0,161.0,177.0,0.0
69024,0.0,0.0,258.0,118.0,190.0,0.0
69028,0.0,0.0,195.0,90.0,92.0,13.0
69143,4.0,0.0,300.0,116.0,194.0,20.0
69155,0.0,0.0,228.0,130.0,130.0,13.0
69161,0.0,0.0,21.0,7.0,9.0,0.0
69162,0.0,0.0,1203.0,1161.0,860.0,25.0
69168,0.0,0.0,36.0,43.0,15.0,6.0
69214,0.0,0.0,50.0,32.0,108.0,0.0
69216,0.0,0.0,15.0,3.0,13.0,1.0
69030,0.0,0.0,24.0,12.0,13.0,0.0
69221,0.0,0.0,15.0,34.0,43.0,0.0
69171,0.0,0.0,0.0,0.0,0.0,0.0
69353,0.0,0.0,5.0,3.0,3.0,0.0
71827,0.0,0.0,235.0,65.0,36.0,0.0
71752,0.0,0.0,298.0,69.0,0.0,15.0
71764,0.0,0.0,683.0,72.0,64.0,72.0
64850,8.0,13.0,4051.0,1566.0,3087.0,318.0
64776,0.0,0.0,954.0,213.0,237.0,62.0
64778,5.0,0.0,117.0,30.0,61.0,29.0
64832,0.0,0.0,116.0,72.0,59.0,0.0
64859,0.0,0.0,356.0,102.0,138.0,47.0
64461,0.0,0.0,211.0,47.0,66.0,2.0
64468,0.0,0.0,2428.0,1342.0,887.0,89.0
64470,5.0,0.0,348.0,278.0,156.0,16.0
64482,0.0,0.0,498.0,291.0,164.0,10.0
64505,0.0,0.0,2694.0,1209.0,1245.0,139.0
64624,0.0,0.0,483.0,114.0,112.0,10.0
64651,0.0,0.0,202.0,91.0,118.0,0.0
64660,0.0,0.0,208.0,44.0,89.0,0.0
64673,0.0,0.0,693.0,170.0,241.0,81.0
64724,5.0,0.0,565.0,103.0,206.0,35.0
64725,5.0,0.0,541.0,171.0,464.0,24.0
64745,0.0,0.0,74.0,36.0,1.0,0.0
64090,0.0,0.0,19.0,10.0,11.0,0.0
64056,15.0,0.0,3680.0,973.0,1609.0,248.0
64058,5.0,0.0,1845.0,605.0,579.0,0.0
64097,0.0,0.0,367.0,148.0,80.0,0.0
64112,16.0,47.0,417.0,2710.0,275.0,0.0
64114,11.0,0.0,2819.0,6531.0,1441.0,53.0
64129,0.0,0.0,1591.0,519.0,372.0,12.0
64132,0.0,0.0,3054.0,627.0,417.0,117.0
64147,0.0,0.0,67.0,0.0,0.0,0.0
64157,8.0,0.0,1845.0,4018.0,4367.0,0.0
64164,0.0,0.0,34.0,181.0,0.0,0.0
64192,0.0,0.0,0.0,0.0,0.0,0.0
64402,0.0,0.0,566.0,323.0,354.0,29.0
64427,0.0,0.0,142.0,70.0,34.0,4.0
64429,0.0,0.0,2373.0,943.0,1061.0,133.0
64434,0.0,0.0,129.0,80.0,63.0,0.0
64444,0.0,0.0,403.0,127.0,151.0,13.0
64016,0.0,0.0,1199.0,403.0,529.0,69.0
64057,0.0,0.0,3094.0,2043.0,1233.0,125.0
64061,0.0,0.0,794.0,213.0,264.0,7.0
