ColumnHeaders
CAMPUS
DNAME
CNAME
GRADE
m_all_unsatgl_nm
m_sexm_unsatgl_nm
m_sexf_unsatgl_nm
m_ethh_unsatgl_nm
m_ethi_unsatgl_nm
m_etha_unsatgl_nm
m_ethb_unsatgl_nm
m_ethp_unsatgl_nm
m_ethw_unsatgl_nm
m_ecoy_unsatgl_nm
m_econ_unsatgl_nm
m_eco1_unsatgl_nm
m_eco2_unsatgl_nm
m_eco9_unsatgl_nm
m_ti19_unsatgl_nm
m_migy_unsatgl_nm
m_mign_unsatgl_nm
m_spey_unsatgl_nm
m_spen_unsatgl_nm
m_gify_unsatgl_nm
m_gifn_unsatgl_nm
m_atry_unsatgl_nm
m_atrn_unsatgl_nm
m_all_approgl_nm
m_sexm_approgl_nm
m_sexf_approgl_nm
m_ethh_approgl_nm
m_ethi_approgl_nm
m_etha_approgl_nm
m_ethb_approgl_nm
m_ethp_approgl_nm
m_ethw_approgl_nm
m_ecoy_approgl_nm
m_econ_approgl_nm
m_eco1_approgl_nm
m_eco2_approgl_nm
m_eco9_approgl_nm
m_ti19_approgl_nm
m_migy_approgl_nm
m_mign_approgl_nm
m_spey_approgl_nm
m_spen_approgl_nm
m_gify_approgl_nm
m_gifn_approgl_nm
m_atry_approgl_nm
m_atrn_approgl_nm
m_all_meetsgl_nm
m_sexm_meetsgl_nm
m_sexf_meetsgl_nm
m_ethh_meetsgl_nm
m_ethi_meetsgl_nm
m_etha_meetsgl_nm
m_ethb_meetsgl_nm
m_ethp_meetsgl_nm
m_ethw_meetsgl_nm
m_ecoy_meetsgl_nm
m_econ_meetsgl_nm
m_eco1_meetsgl_nm
m_eco2_meetsgl_nm
m_eco9_meetsgl_nm
m_ti19_meetsgl_nm
m_migy_meetsgl_nm
m_mign_meetsgl_nm
m_spey_meetsgl_nm
m_spen_meetsgl_nm
m_gify_meetsgl_nm
m_gifn_meetsgl_nm
m_atry_meetsgl_nm
m_atrn_meetsgl_nm
m_all_mastrgl_nm
m_sexm_mastrgl_nm
m_sexf_mastrgl_nm
m_ethh_mastrgl_nm
m_ethi_mastrgl_nm
m_etha_mastrgl_nm
m_ethb_mastrgl_nm
m_ethp_mastrgl_nm
m_ethw_mastrgl_nm
m_ecoy_mastrgl_nm
m_econ_mastrgl_nm
m_eco1_mastrgl_nm
m_eco2_mastrgl_nm
m_eco9_mastrgl_nm
m_ti19_mastrgl_nm
m_migy_mastrgl_nm
m_mign_mastrgl_nm
m_spey_mastrgl_nm
m_spen_mastrgl_nm
m_gify_mastrgl_nm
m_gifn_mastrgl_nm
m_atry_mastrgl_nm
m_atrn_mastrgl_nm
