Zipcode,Income Below 75K,Income Over 100K,High School Diploma,Master Degree,Poverty Family,Non Poverty Family
01605,23.0,0.0,4669.0,1098.0,417.0,1347.0
01606,19.0,0.0,3452.0,1561.0,0.0,1436.0
01719,21.0,0.0,314.0,1186.0,20.0,748.0
01013,14.0,0.0,4505.0,860.0,16.0,1211.0
01029,0.0,0.0,189.0,59.0,0.0,46.0
01008,6.0,0.0,310.0,99.0,0.0,110.0
01012,0.0,0.0,111.0,44.0,3.0,30.0
01031,0.0,0.0,289.0,44.0,16.0,29.0
01032,0.0,0.0,94.0,100.0,0.0,43.0
01056,0.0,0.0,4760.0,1045.0,0.0,1811.0
01060,23.0,0.0,1221.0,2021.0,38.0,1117.0
01069,28.0,0.0,1920.0,637.0,31.0,708.0
01070,4.0,0.0,89.0,78.0,2.0,59.0
01077,0.0,0.0,1580.0,926.0,58.0,979.0
01083,0.0,0.0,917.0,50.0,0.0,385.0
01095,21.0,0.0,2219.0,1554.0,0.0,1560.0
01098,13.0,0.0,250.0,104.0,17.0,88.0
01129,0.0,0.0,1221.0,515.0,26.0,572.0
01237,10.0,0.0,510.0,250.0,0.0,291.0
01244,0.0,0.0,30.0,11.0,0.0,0.0
01902,76.0,0.0,8321.0,1052.0,457.0,2677.0
01913,52.0,11.0,2807.0,1747.0,7.0,1851.0
01922,0.0,0.0,166.0,351.0,0.0,297.0
01930,125.0,7.0,5466.0,2582.0,77.0,2351.0
01701,179.0,67.0,4028.0,4218.0,95.0,3094.0
01602,30.0,7.0,3086.0,2067.0,139.0,1686.0
01611,20.0,0.0,493.0,112.0,0.0,247.0
01730,94.0,12.0,766.0,2682.0,0.0,2140.0
01835,29.0,0.0,2057.0,911.0,67.0,1269.0
01904,81.0,0.0,3887.0,1053.0,10.0,1774.0
01908,21.0,0.0,612.0,448.0,0.0,286.0
01945,142.0,45.0,1192.0,3492.0,104.0,3126.0
01950,65.0,0.0,1888.0,2686.0,0.0,1793.0
01952,12.0,0.0,1852.0,574.0,35.0,607.0
01984,40.0,10.0,393.0,517.0,0.0,649.0
01720,108.0,29.0,967.0,4865.0,0.0,4033.0
01742,85.0,97.0,1194.0,3871.0,87.0,2762.0
01747,0.0,18.0,960.0,304.0,0.0,1019.0
01756,26.0,21.0,884.0,534.0,0.0,1208.0
01834,44.0,0.0,1045.0,513.0,0.0,1049.0
01527,14.0,0.0,3046.0,939.0,88.0,1265.0
01522,0.0,0.0,414.0,467.0,0.0,454.0
01536,16.0,0.0,965.0,891.0,0.0,937.0
01540,15.0,0.0,2570.0,592.0,68.0,980.0
01543,21.0,13.0,1488.0,696.0,14.0,1413.0
01752,79.0,0.0,7514.0,3790.0,15.0,3598.0
01545,39.0,0.0,3687.0,4400.0,71.0,5207.0
01569,31.0,13.0,2785.0,973.0,160.0,1425.0
01604,81.0,0.0,7382.0,1471.0,115.0,1925.0
01801,139.0,0.0,7632.0,4250.0,91.0,3634.0
01826,261.0,0.0,6739.0,1486.0,103.0,3013.0
01907,48.0,32.0,1769.0,1667.0,19.0,1791.0
01949,48.0,0.0,1665.0,773.0,10.0,1055.0
01951,79.0,0.0,461.0,455.0,0.0,436.0
01518,0.0,0.0,668.0,358.0,0.0,398.0
01520,107.0,7.0,1806.0,1894.0,12.0,2216.0
01851,0.0,0.0,5391.0,1687.0,442.0,1689.0
01867,104.0,0.0,2592.0,3506.0,93.0,3515.0
01840,0.0,0.0,737.0,51.0,23.0,347.0
01841,123.0,0.0,8769.0,567.0,610.0,2580.0
01938,64.0,30.0,1787.0,1707.0,7.0,1619.0
01982,67.0,0.0,532.0,1266.0,58.0,1377.0
01071,0.0,0.0,314.0,91.0,0.0,109.0
01072,3.0,4.0,114.0,294.0,12.0,158.0
01062,29.0,0.0,1265.0,1458.0,0.0,810.0
01068,3.0,0.0,345.0,138.0,0.0,194.0
01073,14.0,0.0,1280.0,711.0,0.0,637.0
01264,0.0,0.0,31.0,47.0,0.0,5.0
01075,8.0,0.0,2441.0,1697.0,52.0,885.0
01096,0.0,3.0,450.0,253.0,9.0,324.0
01223,3.0,0.0,513.0,236.0,5.0,162.0
01342,11.0,0.0,155.0,380.0,0.0,159.0
01267,42.0,5.0,543.0,932.0,26.0,522.0
01240,0.0,14.0,660.0,534.0,9.0,252.0
01242,0.0,0.0,35.0,32.0,0.0,66.0
01256,6.0,0.0,187.0,30.0,0.0,83.0
01344,0.0,0.0,399.0,50.0,21.0,147.0
01349,0.0,0.0,311.0,64.0,0.0,78.0
01355,0.0,0.0,167.0,103.0,0.0,73.0
01360,10.0,0.0,560.0,358.0,0.0,398.0
01420,44.0,15.0,7772.0,1564.0,364.0,2865.0
01431,4.0,0.0,764.0,170.0,21.0,321.0
01451,16.0,10.0,250.0,931.0,68.0,824.0
01467,0.0,0.0,41.0,126.0,0.0,50.0
01473,15.0,19.0,1056.0,603.0,0.0,1031.0
01506,16.0,0.0,708.0,146.0,0.0,314.0
01364,0.0,0.0,1999.0,245.0,9.0,802.0
03032,23.0,0.0,727.0,382.0,0.0,638.0
03037,12.0,0.0,767.0,358.0,14.0,569.0
03062,89.0,19.0,3522.0,3115.0,16.0,2717.0
03042,46.0,28.0,1048.0,436.0,54.0,444.0
03044,8.0,0.0,795.0,315.0,0.0,608.0
03049,59.0,25.0,777.0,1275.0,0.0,1265.0
03086,66.0,0.0,864.0,304.0,9.0,337.0
03110,111.0,17.0,2090.0,2652.0,0.0,3203.0
03225,49.0,0.0,700.0,168.0,0.0,300.0
03261,0.0,0.0,795.0,398.0,0.0,389.0
03268,0.0,0.0,253.0,65.0,0.0,117.0
03291,0.0,0.0,11.0,0.0,0.0,0.0
03449,10.0,0.0,185.0,272.0,13.0,224.0
03458,59.0,0.0,839.0,958.0,0.0,505.0
03031,38.0,0.0,993.0,1666.0,0.0,1928.0
03038,159.0,18.0,6512.0,1679.0,33.0,3589.0
